ItemNo|ItemDescription|Quantity|Price
0000026137|Item 0000026137|744|334.18
0000013530|Item 0000013530|30|339.16
0000043939|Item 0000043939|326|210.06
0000028053|Item 0000028053|559|781.60
0000031140|Item 0000031140|137|891.40
0000029447|Item 0000029447|456|754.78
0000018714|Item 0000018714|140|868.04
0000030864|Item 0000030864|725|762.62
0000040981|Item 0000040981|442|940.09
0000039600|Item 0000039600|809|880.02
0000009233|Item 0000009233|769|94.69
0000042222|Item 0000042222|584|67.53
0000001727|Item 0000001727|964|327.61
0000049731|Item 0000049731|11|206.34
0000033774|Item 0000033774|150|313.47
0000041886|Item 0000041886|523|390.64
0000009570|Item 0000009570|444|994.66
0000026033|Item 0000026033|290|257.55
0000006156|Item 0000006156|749|532.87
0000042299|Item 0000042299|71|443.71
0000042204|Item 0000042204|772|373.60
0000000290|Item 0000000290|928|661.11
0000046599|Item 0000046599|932|298.20
0000005616|Item 0000005616|719|713.13
0000045430|Item 0000045430|708|704.92
0000012406|Item 0000012406|69|783.99
0000049893|Item 0000049893|7|175.27
0000043184|Item 0000043184|481|696.50
0000030754|Item 0000030754|809|771.04
0000005577|Item 0000005577|561|672.35
0000013560|Item 0000013560|824|65.35
0000010837|Item 0000010837|383|597.57
0000048963|Item 0000048963|9|992.81
0000001560|Item 0000001560|680|666.20
0000020245|Item 0000020245|485|941.51
0000039730|Item 0000039730|571|887.27
0000020579|Item 0000020579|15|770.30
0000004393|Item 0000004393|930|905.26
0000023712|Item 0000023712|145|485.93
0000025851|Item 0000025851|926|589.96
0000000897|Item 0000000897|337|979.95
0000024004|Item 0000024004|839|419.27
0000027524|Item 0000027524|933|124.65
0000013346|Item 0000013346|227|323.37
0000039406|Item 0000039406|348|319.99
0000008132|Item 0000008132|333|832.47
0000039207|Item 0000039207|909|154.82
0000008860|Item 0000008860|613|867.21
0000022492|Item 0000022492|484|455.14
0000026580|Item 0000026580|123|472.38
0000039467|Item 0000039467|803|272.98
0000019668|Item 0000019668|746|818.52
0000001702|Item 0000001702|793|949.65
0000040718|Item 0000040718|597|35.59
0000015588|Item 0000015588|651|138.28
0000048125|Item 0000048125|812|539.70
0000000238|Item 0000000238|159|53.26
0000000876|Item 0000000876|237|87.73
0000025671|Item 0000025671|939|441.75
0000023216|Item 0000023216|437|863.96
0000048797|Item 0000048797|513|127.07
0000021495|Item 0000021495|411|832.66
0000015677|Item 0000015677|675|363.59
0000026205|Item 0000026205|854|407.21
0000027840|Item 0000027840|648|676.07
0000014787|Item 0000014787|151|485.15
0000011027|Item 0000011027|594|805.96
0000017481|Item 0000017481|38|954.35
0000015363|Item 0000015363|540|454.48
0000012857|Item 0000012857|731|292.61
0000047822|Item 0000047822|975|824.44
0000043104|Item 0000043104|42|152.77
0000016307|Item 0000016307|4|958.99
0000047705|Item 0000047705|576|468.13
0000020296|Item 0000020296|144|855.67
0000026414|Item 0000026414|108|166.84
0000021789|Item 0000021789|757|949.71
0000011753|Item 0000011753|49|848.21
0000009338|Item 0000009338|255|284.01
0000001302|Item 0000001302|401|627.56
0000017519|Item 0000017519|362|327.06
0000042747|Item 0000042747|984|363.59
0000006544|Item 0000006544|514|537.12
0000002750|Item 0000002750|395|828.83
0000000805|Item 0000000805|441|828.28
0000049998|Item 0000049998|741|354.89
0000046484|Item 0000046484|539|472.98
0000003471|Item 0000003471|499|790.98
0000039275|Item 0000039275|105|196.83
0000012100|Item 0000012100|569|86.58
0000025661|Item 0000025661|542|420.50
0000046283|Item 0000046283|50|470.55
0000013500|Item 0000013500|813|409.78
0000006233|Item 0000006233|126|574.59
0000025754|Item 0000025754|83|529.74
0000027676|Item 0000027676|976|544.56
0000022973|Item 0000022973|272|149.82
0000019469|Item 0000019469|70|928.59
0000017905|Item 0000017905|45|292.26
0000011767|Item 0000011767|750|834.93
0000047279|Item 0000047279|124|187.45
0000026108|Item 0000026108|184|226.45
0000042398|Item 0000042398|203|551.41
0000036999|Item 0000036999|141|389.38
0000006377|Item 0000006377|429|700.87
0000003049|Item 0000003049|877|951.78
0000047626|Item 0000047626|11|908.74
0000005448|Item 0000005448|303|869.36
0000024092|Item 0000024092|982|735.06
0000012166|Item 0000012166|999|469.26
0000039424|Item 0000039424|291|514.82
0000047948|Item 0000047948|726|67.41
0000030207|Item 0000030207|734|297.28
0000011274|Item 0000011274|942|29.69
0000023540|Item 0000023540|453|626.53
0000009263|Item 0000009263|92|286.08
0000014467|Item 0000014467|177|18.65
0000012674|Item 0000012674|557|43.21
0000042871|Item 0000042871|361|904.14
0000002465|Item 0000002465|626|151.17
0000026350|Item 0000026350|771|175.46
0000033949|Item 0000033949|36|226.69
0000021977|Item 0000021977|543|606.83
0000023202|Item 0000023202|351|683.95
0000019225|Item 0000019225|983|231.95
0000005799|Item 0000005799|177|949.97
0000025240|Item 0000025240|634|259.09
0000012373|Item 0000012373|764|719.18
0000003869|Item 0000003869|982|147.80
0000022586|Item 0000022586|807|951.09
0000031813|Item 0000031813|879|330.89
0000011477|Item 0000011477|663|904.58
0000044533|Item 0000044533|199|672.29
0000038864|Item 0000038864|933|858.46
0000043921|Item 0000043921|789|531.12
0000038243|Item 0000038243|704|857.86
0000039507|Item 0000039507|802|245.15
0000045043|Item 0000045043|515|406.02
0000000289|Item 0000000289|137|78.59
0000011171|Item 0000011171|312|714.12
0000041033|Item 0000041033|323|268.50
0000024000|Item 0000024000|47|479.21
0000048299|Item 0000048299|552|135.26
0000030220|Item 0000030220|427|442.75
0000019055|Item 0000019055|349|800.15
0000002773|Item 0000002773|647|987.81
0000025687|Item 0000025687|895|170.65
0000015215|Item 0000015215|420|980.73
0000043854|Item 0000043854|224|541.49
0000036853|Item 0000036853|482|674.86
0000003420|Item 0000003420|213|346.04
0000042566|Item 0000042566|213|252.95
0000022303|Item 0000022303|387|221.48
0000002199|Item 0000002199|41|338.09
0000023107|Item 0000023107|798|862.41
0000007870|Item 0000007870|469|874.69
0000031305|Item 0000031305|784|70.26
0000045646|Item 0000045646|939|239.18
0000039675|Item 0000039675|676|434.81
0000027504|Item 0000027504|374|34.14
0000036468|Item 0000036468|9|901.63
0000004517|Item 0000004517|749|843.91
0000038820|Item 0000038820|161|937.91
0000025067|Item 0000025067|150|683.80
0000015988|Item 0000015988|528|412.44
0000016303|Item 0000016303|672|294.62
0000035171|Item 0000035171|234|729.69
0000015558|Item 0000015558|991|855.57
0000041527|Item 0000041527|890|170.84
0000031379|Item 0000031379|791|166.07
0000000373|Item 0000000373|332|82.90
0000005250|Item 0000005250|479|69.88
0000034908|Item 0000034908|855|949.65
0000034341|Item 0000034341|504|296.13
0000014391|Item 0000014391|594|291.13
0000026023|Item 0000026023|877|217.43
0000013354|Item 0000013354|475|719.19
0000031462|Item 0000031462|281|606.84
0000017393|Item 0000017393|739|844.63
0000017317|Item 0000017317|785|918.20
0000024663|Item 0000024663|870|83.17
0000038268|Item 0000038268|617|616.71
0000016616|Item 0000016616|292|789.09
0000040938|Item 0000040938|723|281.22
0000000683|Item 0000000683|918|149.35
0000024734|Item 0000024734|796|794.04
0000046049|Item 0000046049|878|47.35
0000038008|Item 0000038008|934|557.44
0000036705|Item 0000036705|519|912.11
0000043354|Item 0000043354|107|510.66
0000011602|Item 0000011602|245|54.19
0000002376|Item 0000002376|576|465.43
0000042741|Item 0000042741|410|825.58
0000031505|Item 0000031505|172|292.82
0000017940|Item 0000017940|92|879.65
0000010815|Item 0000010815|243|110.59
0000037643|Item 0000037643|368|995.27
0000032209|Item 0000032209|378|994.22
0000030088|Item 0000030088|127|136.98
0000013796|Item 0000013796|325|224.69
0000002492|Item 0000002492|969|248.11
0000012321|Item 0000012321|892|303.60
0000040138|Item 0000040138|714|478.22
0000033720|Item 0000033720|253|519.93
0000040716|Item 0000040716|341|779.72
0000020024|Item 0000020024|721|75.10
0000049514|Item 0000049514|53|576.23
0000016664|Item 0000016664|314|397.11
0000011275|Item 0000011275|887|566.34
